"Service","Package","Version","Hide","Notes"
"Microsoft.Azure.Management.DataFactory","Microsoft.Azure.Management.DataFactory","4.8.0","",""
"Microsoft.Azure.Management.DataLake.Analytics","Microsoft.Azure.Management.DataLake.Analytics","3.0.1","",""
"Microsoft.Azure.Management.DataLake.Store","Microsoft.Azure.Management.DataLake.Store","2.2.1","",""
"Microsoft.Azure.Management.DataShare","Microsoft.Azure.Management.DataShare","1.0.1","",""
"Microsoft.Azure.Management.DeviceProvisioningServices","Microsoft.Azure.Management.DeviceProvisioningServices","1.0.0","",""
"Microsoft.Azure.Management.DevTestLabs","Microsoft.Azure.Management.DevTestLabs","3.0.0","",""
"Microsoft.Azure.Management.Dns","Microsoft.Azure.Management.Dns","3.0.1","",""
"Microsoft.Azure.Management.Dns.Fluent","Microsoft.Azure.Management.Dns.Fluent","1.33.0","",""
"Microsoft.Azure.Management.EventGrid","Microsoft.Azure.Management.EventGrid","5.0.0","",""
"Microsoft.Azure.Management.EventHub","Microsoft.Azure.Management.EventHub","2.5.0","",""
"Microsoft.Azure.Management.EventHub.Fluent","Microsoft.Azure.Management.EventHub.Fluent","1.33.0","",""
"Microsoft.Azure.Management.Fluent","Microsoft.Azure.Management.Fluent","1.33.0","",""
"Microsoft.Azure.Management.FrontDoor","Microsoft.Azure.Management.FrontDoor","2.1.0","",""
"Microsoft.Azure.Management.Graph.RBAC.Fluent","Microsoft.Azure.Management.Graph.RBAC.Fluent","1.33.0","",""
"Microsoft.Azure.Management.GuestConfiguration","Microsoft.Azure.Management.GuestConfiguration","1.1.0","",""
"Microsoft.Azure.Management.HDInsight","Microsoft.Azure.Management.HDInsight","5.3.0","",""
"Microsoft.Azure.Management.HDInsight.Job","Microsoft.Azure.Management.HDInsight.Job","2.0.7","",""
"Microsoft.Azure.Management.HealthcareApis","Microsoft.Azure.Management.HealthcareApis","1.0.2","",""
"Microsoft.Azure.Management.HybridData","Microsoft.Azure.Management.HybridData","1.0.1","",""
"Microsoft.Azure.Management.IotCentral","Microsoft.Azure.Management.IotCentral","2.2.0","",""
"Microsoft.Azure.Management.IotHub","Microsoft.Azure.Management.IotHub","2.1.1","",""
"Microsoft.Azure.Management.KeyVault","Microsoft.Azure.Management.KeyVault","3.0.0","",""
"Microsoft.Azure.Management.KeyVault.Fluent","Microsoft.Azure.Management.KeyVault.Fluent","1.33.0","",""
"Microsoft.Azure.Management.Kusto","Microsoft.Azure.Management.Kusto","5.0.0","",""
"Microsoft.Azure.Management.LabServices","Microsoft.Azure.Management.LabServices","3.0.0","",""
"Microsoft.Azure.Management.LocationBasedServices","Microsoft.Azure.Management.LocationBasedServices","2.0.0","",""
"Microsoft.Azure.Management.Locks.Fluent","Microsoft.Azure.Management.Locks.Fluent","1.33.0","",""
"Microsoft.Azure.Management.Logic","Microsoft.Azure.Management.Logic","4.1.0","",""
"Microsoft.Azure.Management.MachineLearning","Microsoft.Azure.Management.MachineLearning","1.0.1","",""
"Microsoft.Azure.Management.MachineLearningCompute","Microsoft.Azure.Management.MachineLearningCompute","0.4.0","",""
"Microsoft.Azure.Management.Maintenance","Microsoft.Azure.Management.Maintenance","1.0.0","",""
"Microsoft.Azure.Management.ManagedServiceIdentity","Microsoft.Azure.Management.ManagedServiceIdentity","1.0.0","",""
"Microsoft.Azure.Management.ManagedServices","Microsoft.Azure.Management.ManagedServices","1.1.0","",""
"Microsoft.Azure.Management.Maps","Microsoft.Azure.Management.Maps","1.0.2","",""
"Microsoft.Azure.Management.Marketplace","Microsoft.Azure.Management.Marketplace","1.0.1","",""
"Microsoft.Azure.Management.MarketplaceOrdering","Microsoft.Azure.Management.MarketplaceOrdering","1.0.1","",""
"Microsoft.Azure.Management.Media","Microsoft.Azure.Management.Media","2.0.4","",""
"Microsoft.Azure.Management.Monitor.Fluent","Microsoft.Azure.Management.Monitor.Fluent","1.33.0","",""
"Microsoft.Azure.Management.Msi.Fluent","Microsoft.Azure.Management.Msi.Fluent","1.33.0","",""
"Microsoft.Azure.Management.NetApp","Microsoft.Azure.Management.NetApp","1.5.1","",""
"Microsoft.Azure.Management.Network","Microsoft.Azure.Management.Network","5.0.0","",""
"Microsoft.Azure.Management.Network.Fluent","Microsoft.Azure.Management.Network.Fluent","1.33.0","",""
"Microsoft.Azure.Management.Peering","Microsoft.Azure.Management.Peering","2.1.0","",""
"Microsoft.Azure.Management.PolicyInsights","Microsoft.Azure.Management.PolicyInsights","3.1.0","",""
"Microsoft.Azure.Management.PrivateDns","Microsoft.Azure.Management.PrivateDns","1.0.0","",""
"Microsoft.Azure.Management.PrivateDns.Fluent","Microsoft.Azure.Management.PrivateDns.Fluent","1.33.0","",""
"Microsoft.Azure.Management.RecoveryServices.Backup","Microsoft.Azure.Management.RecoveryServices.Backup","0.1.2","",""
"Microsoft.Azure.Management.Redis","Microsoft.Azure.Management.Redis","5.0.0","",""
"Microsoft.Azure.Management.Redis.Fluent","Microsoft.Azure.Management.Redis.Fluent","1.33.0","",""
"Microsoft.Azure.Management.Relay","Microsoft.Azure.Management.Relay","2.0.2","",""
"Microsoft.Azure.Management.RemoteApp","Microsoft.Azure.Management.RemoteApp","1.0.9","",""
"Microsoft.Azure.Management.ResourceGraph","Microsoft.Azure.Management.ResourceGraph","2.0.0","",""
"Microsoft.Azure.Management.ResourceManager.Fluent","Microsoft.Azure.Management.ResourceManager.Fluent","1.33.0","",""
"Microsoft.Azure.Management.Scheduler","Microsoft.Azure.Management.Scheduler","2.2.0","",""
"Microsoft.Azure.Management.Search","Microsoft.Azure.Management.Search","3.0.0","",""
"Microsoft.Azure.Management.Search.Fluent","Microsoft.Azure.Management.Search.Fluent","1.33.0","",""
"Microsoft.Azure.Management.SecurityCenter","Microsoft.Azure.Management.SecurityCenter","2.1.0","",""
"Microsoft.Azure.Management.ServerManagement","Microsoft.Azure.Management.ServerManagement","1.1.0","",""
"Microsoft.Azure.Management.ServiceBus","Microsoft.Azure.Management.ServiceBus","2.1.0","",""
"Microsoft.Azure.Management.ServiceBus.Fluent","Microsoft.Azure.Management.ServiceBus.Fluent","1.33.0","",""
"Microsoft.Azure.Management.ServiceFabric","Microsoft.Azure.Management.ServiceFabric","1.2.0","",""
"Microsoft.Azure.Management.SignalR","Microsoft.Azure.Management.SignalR","1.0.1","",""
"Microsoft.Azure.Management.Sql.Fluent","Microsoft.Azure.Management.Sql.Fluent","1.33.0","",""
"Microsoft.Azure.Management.SqlVirtualMachine","Microsoft.Azure.Management.SqlVirtualMachine","1.0.0","",""
"Microsoft.Azure.Management.Storage","Microsoft.Azure.Management.Storage","16.0.0","",""
"Microsoft.Azure.Management.Storage.Fluent","Microsoft.Azure.Management.Storage.Fluent","1.33.0","",""
"Microsoft.Azure.Management.StorageCache","Microsoft.Azure.Management.StorageCache","1.1.0","",""
"Microsoft.Azure.Management.StorageSync","Microsoft.Azure.Management.StorageSync","4.0.0","",""
"Microsoft.Azure.Management.Storsimple8000series","Microsoft.Azure.Management.Storsimple8000series","1.0.0","",""
"Microsoft.Azure.Management.StreamAnalytics","Microsoft.Azure.Management.StreamAnalytics","2.1.0","",""
"Microsoft.Azure.Management.Support","Microsoft.Azure.Management.Support","1.0.1","",""
"Microsoft.Azure.Management.TrafficManager","Microsoft.Azure.Management.TrafficManager","2.5.3","",""
"Microsoft.Azure.Management.TrafficManager.Fluent","Microsoft.Azure.Management.TrafficManager.Fluent","1.33.0","",""
"Microsoft.Azure.Management.WebSites","Microsoft.Azure.Management.WebSites","3.0.0","",""
"Microsoft.Azure.Mobile.Server.CrossDomain","Microsoft.Azure.Mobile.Server.CrossDomain","2.0.3","",""
"Microsoft.Azure.Relay","Microsoft.Azure.Relay","2.0.1","",""
"Microsoft.Azure.Search","Microsoft.Azure.Search","10.1.0","","Will be replaced by: Azure.Search.Documents"
"Microsoft.Azure.Search.Common","Microsoft.Azure.Search.Common","10.1.0","",""
"Microsoft.Azure.Search.Data","Microsoft.Azure.Search.Data","10.1.0","",""
"Microsoft.Azure.Search.Service","Microsoft.Azure.Search.Service","10.1.0","",""
"Microsoft.Azure.ServiceBus","Microsoft.Azure.ServiceBus","4.1.3","","Will be replaced by: Azure.Messaging.ServiceBus"
"Microsoft.Azure.Services.AppAuthentication","Microsoft.Azure.Services.AppAuthentication","1.4.0","",""
