Service,ServiceId,SDK,Plane,Language,Track1.Package,Track1.RepoLink,Track1.ColorCode,Track1.Deprecated,Track2.Package,Track2.RepoLink,Track2.ColorCode,Track2.Deprecated,PercentComplete,LatestRelease
Provisioning,0,Provisioning - Operational Insights,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.OperationalInsights,,2,false,0,
Provisioning,0,Provisioning - Operational Insights,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.OperationalInsights,,2,false,0,
Provisioning,0,Provisioning - PostgreSQL,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.PostgreSql,,2,false,0,
Provisioning,0,Provisioning - PostgreSQL,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.PostgreSql,,2,false,0,
Provisioning,0,Provisioning - PostgreSQL,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.PostgreSql,,2,false,0,
Provisioning,0,Provisioning - PostgreSQL,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.PostgreSql,,2,false,0,
Provisioning,0,Provisioning - Redis,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.Redis,,2,false,0,
Provisioning,0,Provisioning - Redis,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.Redis,,2,false,0,
Provisioning,0,Provisioning - Redis,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.Redis,,2,false,0,
Provisioning,0,Provisioning - Redis,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.Redis,,2,false,0,
Provisioning,0,Provisioning - Search,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.Search,,2,false,0,
Provisioning,0,Provisioning - Search,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.Search,,2,false,0,
Provisioning,0,Provisioning - Search,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.Search,,2,false,0,
Provisioning,0,Provisioning - Search,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.Search,,2,false,0,
Provisioning,0,Provisioning - Service Bus,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.ServiceBus,,2,false,0,
Provisioning,0,Provisioning - Service Bus,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.ServiceBus,,2,false,0,
Provisioning,0,Provisioning - Service Bus,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.ServiceBus,,2,false,0,
Provisioning,0,Provisioning - Service Bus,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.ServiceBus,,2,false,0,
Provisioning,0,Provisioning - SignalR,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.SignalR,,2,false,0,
Provisioning,0,Provisioning - SignalR,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.SignalR,,2,false,0,
Provisioning,0,Provisioning - SignalR,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.SignalR,,2,false,0,
Provisioning,0,Provisioning - SignalR,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.SignalR,,2,false,0,
Provisioning,0,Provisioning - SQL,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.Sql,,2,false,0,
Provisioning,0,Provisioning - SQL,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.Sql,,2,false,0,
Provisioning,0,Provisioning - SQL,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.Sql,,2,false,0,
Provisioning,0,Provisioning - SQL,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.Sql,,2,false,0,
Provisioning,0,Provisioning - Storage,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.Storage,,2,false,0,
Provisioning,0,Provisioning - Storage,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.Storage,,2,false,0,
Provisioning,0,Provisioning - Storage,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.Storage,,2,false,0,
Provisioning,0,Provisioning - Storage,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.Storage,,2,false,0,
Provisioning,0,Provisioning - WebPubSub,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.WebPubSub,,2,false,0,
Provisioning,0,Provisioning - WebPubSub,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.WebPubSub,,2,false,0,
Provisioning,0,Provisioning - WebPubSub,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.WebPubSub,,2,false,0,
Provisioning,0,Provisioning - WebPubSub,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.WebPubSub,,2,false,0,
Alerts Management,0,Resource Management - Alerts Management,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.ResourceManager.AlertsManagement,,2,false,0,
Analysis,0,Resource Management - Analysis,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.ResourceManager.Analysis,,2,false,0,
Analysis,0,Resource Management - Analysis,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.ResourceManager.Analysis,,2,false,0,
