"Package","GroupId","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","Hide","Notes"
"azure-security-keyvault-administration","com.azure","","4.0.0-beta.3","Key Vault - Administration","Key Vault","keyvault","","","client","true","",""
"azure-security-keyvault-certificates","com.azure","4.1.3","4.2.0-beta.2","Key Vault - Certificates","Key Vault","keyvault","","","client","true","","Replaces: azure-keyvault-certificates"
"azure-security-keyvault-jca","com.azure","","1.0.0-beta.2","Key Vault - JCA","Key Vault","keyvault","","","client","true","",""
"azure-security-keyvault-keys","com.azure","4.2.3","4.3.0-beta.3","Key Vault - Keys","Key Vault","keyvault","","","client","true","","Replaces: azure-keyvault-keys"
"azure-security-keyvault-secrets","com.azure","4.2.3","4.3.0-beta.2","Key Vault - Secrets","Key Vault","keyvault","","","client","true","","Replaces: azure-keyvault-secrets"
"azure-ai-metricsadvisor","com.azure","","1.0.0-beta.2","Metrics Advisor","Metrics Advisor","metricsadvisor","","","client","true","",""
"opentelemetry-exporters-azuremonitor","com.azure","","1.0.0-beta.1","OpenTelemetry Exporters Azure Monitor","Monitor","monitor","","","client","true","",""
"azure-sdk-bom","com.azure","1.0.1","","SDK - Bill of Materials","Bill of Materials","https://github.com/Azure/azure-sdk-for-java/tree/master/sdk/boms/azure-sdk-bom","NA","","client","true","",""
"azure-messaging-servicebus","com.azure","7.0.0","","Service Bus","Service Bus","servicebus","","","client","true","","Will replace: azure-servicebus"
"azure-storage-blob","com.azure","12.9.0","12.10.0-beta.1","Storage - Blobs","Storage","storage","","","client","true","","Replaces: azure-storage-blob 11.x"
"azure-storage-blob-batch","com.azure","12.7.0","12.8.0-beta.1","Storage - Blobs Batch","Storage","storage","","","client","true","",""
"azure-storage-blob-changefeed","com.azure","","12.0.0-beta.4","Storage - Blobs Changefeed","Storage","storage","","","client","true","",""
"azure-storage-blob-cryptography","com.azure","12.9.0","","Storage - Blobs Cryptography","Storage","storage","","","client","true","",""
"azure-storage-blob-nio","com.azure","","12.0.0-beta.2","Storage - Blobs NIO","Storage","storage","","","client","true","",""
"azure-storage-common","com.azure","12.9.0","12.10.0-beta.1","Storage - Common","Storage","storage","","","client","true","",""
"azure-storage-file-datalake","com.azure","12.3.0","12.4.0-beta.1","Storage - Files Data Lake","Storage","storage","","","client","true","","Replaces: azure-data-lake-store-sdk"
"azure-storage-file-share","com.azure","12.7.0","12.8.0-beta.1","Storage - Files Shares","Storage","storage","","","client","true","","Replaces: azure-storage-file"
"azure-storage-queue","com.azure","12.7.0","12.8.0-beta.1","Storage - Queues","Storage","storage","","","client","true","","Replaces: azure-storage-queue 10.x"
"azure-analytics-synapse-accesscontrol","com.azure","","1.0.0-beta.1","Synapse - AccessControl","Synapse Analytics","synapse","NA","","client","true","",""
"azure-analytics-synapse-artifacts","com.azure","","1.0.0-beta.1","Synapse - Artifacts","Synapse Analytics","synapse","NA","","client","true","",""
"azure-analytics-synapse-managedprivateendpoints","com.azure","","1.0.0-beta.1","Synapse - Managed Private Endpoints","Synapse Analytics","synapse","NA","","client","true","",""
"azure-analytics-synapse-monitoring","com.azure","","1.0.0-beta.1","Synapse - Monitoring","Synapse Analytics","synapse","NA","","client","true","",""
"azure-analytics-synapse-spark","com.azure","","1.0.0-beta.1","Synapse - Spark","Synapse Analytics","synapse","NA","","client","true","",""
"azure-data-tables","com.azure","","12.0.0-beta.3","Tables","Tables","tables","","","client","true","",""
"azure-ai-textanalytics","com.azure","5.0.1","5.1.0-beta.3","Text Analytics","Text Analytics","textanalytics","","","client","true","","Replaces: azure-cognitiveservices-textanalytics"
"azure-core-tracing-opentelemetry","com.azure","","1.0.0-beta.6","Tracing OpenTelemetry Plugin","Plugin","core","","","client","true","",""
"azure-core-management","com.azure","1.0.0","","Management - Core","Core","core","","","mgmt","true","",""
"azure-resourcemanager","com.azure.resourcemanager","2.1.0","","Resource Management","Resources","resourcemanager","","","mgmt","true","",""
"azure-resourcemanager-appservice","com.azure.resourcemanager","2.1.0","","Resource Management - App Service","App Service","resourcemanager","","","mgmt","true","",""
"azure-resourcemanager-authorization","com.azure.resourcemanager","2.1.0","","Resource Management - Authorization","Authorization","resourcemanager","","","mgmt","true","",""
"azure-resourcemanager-compute","com.azure.resourcemanager","2.1.0","","Resource Management - Compute","Compute","resourcemanager","","","mgmt","true","",""
"azure-resourcemanager-containerinstance","com.azure.resourcemanager","2.1.0","","Resource Management - Container Instance","Container Instances","resourcemanager","","","mgmt","true","",""
"azure-resourcemanager-containerregistry","com.azure.resourcemanager","2.1.0","","Resource Management - Container Registry","Container Registry","resourcemanager","","","mgmt","true","",""
"azure-resourcemanager-containerservice","com.azure.resourcemanager","2.1.0","","Resource Management - Container Service","Container Service","resourcemanager","","","mgmt","true","",""
"azure-resourcemanager-cdn","com.azure.resourcemanager","2.1.0","","Resource Management - Content Delivery Network","Content Delivery Network","resourcemanager","","","mgmt","true","",""
"azure-resourcemanager-cosmos","com.azure.resourcemanager","2.1.0","","Resource Management - Cosmos DB","Cosmos DB","resourcemanager","","","mgmt","true","",""
"azure-resourcemanager-dns","com.azure.resourcemanager","2.1.0","","Resource Management - DNS","DNS","resourcemanager","","","mgmt","true","",""
