"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","LatestGADate","FirstGADate","FirstPreviewDate","Support","EOLDate","Hide","Replace","ReplaceGuide","MSDocService","ServiceId","Notes"
"azure_resourcemanager_informaticadatamanagement","","0.0.1","Resource Management - Informatica Data Management","Informatica Data Management","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_iotcentral","","0.0.1","Resource Management - IoT Central","IoT","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_iotfirmwaredefense","","0.0.1","Resource Management - IoT Firmware Defense","IoT","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_iothub","","0.0.1","Resource Management - IoT Hub","IoT","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_iotoperations","","0.0.1","Resource Management - IoT Operations","IoT","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_keyvault","","0.0.1","Resource Management - Key Vault","Key Vault","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_kubernetes","","0.0.1","Resource Management - Hybrid Kubernetes","Hybrid Kubernetes","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_kubernetesconfiguration","","0.0.1","Resource Management - Kubernetes Configuration","Kubernetes Configuration","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_kusto","","0.0.1","Resource Management - Kusto","Kusto","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_labservices","","0.0.1","Resource Management - Lab Services","Lab Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_largeinstance","","0.0.1","Resource Management - Large Instance","Large Instance","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_loadtesting","","0.0.1","Resource Management - Load Testing","Load Testing","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_logic","","0.0.1","Resource Management - Logic Apps","Logic Apps","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_machinelearning","","0.0.1","Resource Management - Machine Learning","Machine Learning","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_machinelearningcompute","","0.0.1","Resource Management - Machine Learning Compute","Machine Learning","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_maintenance","","0.0.1","Resource Management - Maintenance","Maintenance","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_managednetwork","","0.0.1","Resource Management - Managed Network","Managed Network","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_managednetworkfabric","","0.0.1","Resource Management - Managed Network Fabric","Managed Network Fabric","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_managedserviceidentities","","0.0.1","Resource Management - Managed Service Identity","Managed Service Identity","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_managedservices","","0.0.1","Resource Management - Managed Services","Managed Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_managementpartner","","0.0.1","Resource Management - Management Partner","Management Partner","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_maps","","0.0.1","Resource Management - Maps","Maps","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_marketplace","","0.0.1","Resource Management - Marketplace","Marketplace","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_marketplaceordering","","0.0.1","Resource Management - Marketplace Ordering","Marketplace Ordering","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_media","","0.0.1","Resource Management - Media","Media","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_migrationdiscoverysap","","0.0.1","Resource Management - Migration Discovery SAP","Migration","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_mixedreality","","0.0.1","Resource Management - Mixed Reality","Mixed Reality","NA","NA","NA","","false","","","","","deprecated","10/01/2025","true","NA","NA","","",""
"azure_resourcemanager_mobilenetwork","","0.0.1","Resource Management - Mobile Network","Mobile Network","NA","NA","NA","","false","","","","","deprecated","09/30/2025","true","NA","NA","","",""
"azure_resourcemanager_mongocluster","","0.0.1","Resource Management - Mongo Cluster","Mongo Cluster","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_monitor","","0.0.1","Resource Management - Monitor","Monitor","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_mysql","","0.0.1","Resource Management - MySQL","MySQL","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_neonpostgres","","0.0.1","Resource Management - Neon Postgres","Neon Postgres","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_netapp","","0.0.1","Resource Management - NetApp Files","NetApp Files","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_network","","0.0.1","Resource Management - Network","Network","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_networkanalytics","","0.0.1","Resource Management - Network Analytics","Network Analytics","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_networkcloud","","0.0.1","Resource Management - Network Cloud","Operator Nexus - Network Cloud","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_networkfunction","","0.0.1","Resource Management - Network Function","Network Function","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_newrelicobservability","","0.0.1","Resource Management - New Relic Observability","New Relic Observability","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_nginx","","0.0.1","Resource Management - Nginx","Nginx","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_notificationhubs","","0.0.1","Resource Management - Notification Hubs","Notification Hubs","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_operationalinsights","","0.0.1","Resource Management - Log Analytics","Monitor","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_oracledatabase","","0.0.1","Resource Management - Oracle Database","Oracle Database","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_orbital","","0.0.1","Resource Management - Orbital","Orbital","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_paloaltonetworks_ngfw","","0.0.1","Resource Management - Paloaltonetworks Ngfw","Paloaltonetworks Ngfw","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_peering","","0.0.1","Resource Management - Peering","Peering","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_playwrighttesting","","0.0.1","Resource Management - Playwright Testing","Playwright Testing","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_policyinsights","","0.0.1","Resource Management - Policy Insights","Policy Insights","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_postgresql","","0.0.1","Resource Management - PostgreSQL","PostgreSQL","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_powerbidedicated","","0.0.1","Resource Management - Power BI Dedicated","Power BI Dedicated","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_privatedns","","0.0.1","Resource Management - Private DNS","Private DNS","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_providerhub","","0.0.1","Resource Management - Provider Hub","Provider Hub","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_purview","","0.0.1","Resource Management - Purview","Purview","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_quantum","","0.0.1","Resource Management - Quantum","Quantum","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_qumulo","","0.0.1","Resource Management - Qumulo","Qumulo","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_quota","","0.0.1","Resource Management - Quota","Quota","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_recoveryservices","","0.0.1","Resource Management - Recovery Services","Recovery Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_recoveryservicesbackup","","0.0.1","Resource Management - Recovery Services Backup","Recovery Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_recoveryservicesdatareplication","","0.0.1","Resource Management - Recovery Services Data Replication","Recovery Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_recoveryservicessiterecovery","","0.0.1","Resource Management - Recovery Services Site Recovery","Recovery Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_redis","","0.0.1","Resource Management - Redis","Redis","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_redisenterprise","","0.0.1","Resource Management - Redis Enterprise","Redis","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_relay","","0.0.1","Resource Management - Relay","Relay","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_reservations","","0.0.1","Resource Management - Reservations","Reservations","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_resourceconnector","","0.0.1","Resource Management - Resource Connector","Resource Connector","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_resourcegraph","","0.0.1","Resource Management - Resource Graph","Resource Graph","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_resourcehealth","","0.0.1","Resource Management - Resource Health","Resource Health","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_resourcemover","","0.0.1","Resource Management - Resource Mover","Resource Mover","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_resources","","0.0.1","Resource Management - Resources","Resource Manager","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_scvmm","","0.0.1","Resource Management - ScVmm","ScVmm","NA","NA","NA","","false","","","","","","","true","","","","",""
