"SpecPath","SpecReadmeTag","SpecValidationErrors","ServiceFamily","ResourcePath","Version","VersionType","Type","IsTypeSpec","ServiceLifeCycle","DateCreated","JsonFiles"
"azurefleet/resource-manager/Microsoft.AzureFleet/AzureFleet/preview/2024-05-01-preview","","","azurefleet","Microsoft.AzureFleet/AzureFleet","2024-05-01-preview","preview","mgmt","True","Brownfield","2025-08-29","azurefleet.json"
"azurefleet/resource-manager/Microsoft.AzureFleet/AzureFleet/preview/2025-07-01-preview","","","azurefleet","Microsoft.AzureFleet/AzureFleet","2025-07-01-preview","preview","mgmt","True","Brownfield","2025-08-29","azurefleet.json"
"azureintegrationspaces/resource-manager","package-2023-11-14-preview","","azureintegrationspaces","Microsoft.IntegrationSpaces","2023-11-14-preview","preview","mgmt","True","Greenfield","2023-10-25","Microsoft.IntegrationSpaces/preview/2023-11-14-preview/openapi.json"
"azurelargeinstance/resource-manager/Microsoft.AzureLargeInstance/AzureLargeInstance","package-2023-07-20-preview","","azurelargeinstance","Microsoft.AzureLargeInstance/AzureLargeInstance","2023-07-20-preview","preview","mgmt","True","Brownfield","","preview/2023-07-20-preview/azurelargeinstance.json"
"azurelargeinstance/resource-manager/Microsoft.AzureLargeInstance/AzureLargeInstance/preview/2024-08-01-preview","","","azurelargeinstance","Microsoft.AzureLargeInstance/AzureLargeInstance","2024-08-01-preview","preview","mgmt","True","Brownfield","2025-08-29","azurelargeinstance.json"
"azurelargeinstance/resource-manager/Microsoft.AzureLargeInstance/AzureLargeInstance/stable/2024-04-10","","","azurelargeinstance","Microsoft.AzureLargeInstance/AzureLargeInstance","2024-04-10","stable","mgmt","True","Brownfield","2025-08-29","azurelargeinstance.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/operations/preview/2024-02-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/operations","2024-02-01-preview","preview","mgmt","True","Brownfield","2024-06-04","operations.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/operations/preview/2024-05-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/operations","2024-05-01-preview","preview","mgmt","True","Brownfield","2024-08-28","operations.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/operations/preview/2024-08-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/operations","2024-08-01-preview","preview","mgmt","True","Brownfield","2024-10-11","operations.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/operations/preview/2024-10-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/operations","2024-10-01-preview","preview","mgmt","True","Brownfield","2025-01-16","operations.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/operations/preview/2025-02-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/operations","2025-02-01-preview","preview","mgmt","True","Brownfield","2025-02-05","operations.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/operations/preview/2025-04-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/operations","2025-04-01-preview","preview","mgmt","True","Brownfield","2025-03-19","operations.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/operations/preview/2025-06-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/operations","2025-06-01-preview","preview","mgmt","True","Brownfield","2025-06-30","operations.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/operations/preview/2025-09-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/operations","2025-09-01-preview","preview","mgmt","True","Brownfield","2025-11-18","operations.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/operations/preview/2025-09-15-preview","","","azurestackhci","Microsoft.AzureStackHCI/operations","2025-09-15-preview","preview","mgmt","True","Brownfield","2025-09-19","operations.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/operations/stable/2025-10-01","","","azurestackhci","Microsoft.AzureStackHCI/operations","2025-10-01","stable","mgmt","True","Brownfield","2025-10-07","operations.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCI","package-preview-2025-12-01-preview","","azurestackhci","Microsoft.AzureStackHCI/StackHCI","2025-12-01-preview","preview","mgmt","True","Brownfield","","preview/2025-12-01-preview/arcSettings.json|preview/2025-12-01-preview/clusters.json|preview/2025-12-01-preview/deploymentSettings.json|preview/2025-12-01-preview/edgeDeviceJobs.json|preview/2025-12-01-preview/edgeDevices.json|preview/2025-12-01-preview/extensions.json|preview/2025-12-01-preview/hci.json|preview/2025-12-01-preview/hciCommon.json|preview/2025-12-01-preview/offers.json|preview/2025-12-01-preview/publishers.json|preview/2025-12-01-preview/securitySettings.json|preview/2025-12-01-preview/skus.json|preview/2025-12-01-preview/updateRuns.json|preview/2025-12-01-preview/updates.json|preview/2025-12-01-preview/updateSummaries.json|preview/2025-12-01-preview/validatedSolutionRecipes.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCI/preview/2025-11-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/StackHCI","2025-11-01-preview","preview","mgmt","True","Brownfield","2025-11-10","arcSettings.json|clusters.json|deploymentSettings.json|edgeDeviceJobs.json|edgeDevices.json|extensions.json|hci.json|hciCommon.json|offers.json|publishers.json|securitySettings.json|skus.json|updateRuns.json|updates.json|updateSummaries.json|validatedSolutionRecipes.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCIVM","package-preview-2025-09-01-preview","SpecPathMismatchBetweenSpecFiles","azurestackhci","Microsoft.AzureStackHCI/StackHCIVM","2025-09-01-preview","preview","mgmt","True","Greenfield","","../operations/preview/2025-09-01-preview/operations.json|preview/2025-09-01-preview/stackhcivm.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCIVM/preview/2024-02-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/StackHCIVM","2024-02-01-preview","preview","mgmt","True","Greenfield","2024-06-04","stackhcivm.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCIVM/preview/2024-05-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/StackHCIVM","2024-05-01-preview","preview","mgmt","True","Greenfield","2024-08-28","stackhcivm.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCIVM/preview/2024-07-15-preview","","","azurestackhci","Microsoft.AzureStackHCI/StackHCIVM","2024-07-15-preview","preview","mgmt","True","Greenfield","2024-10-11","stackhcivm.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCIVM/preview/2024-08-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/StackHCIVM","2024-08-01-preview","preview","mgmt","True","Greenfield","2024-10-11","stackhcivm.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCIVM/preview/2024-10-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/StackHCIVM","2024-10-01-preview","preview","mgmt","True","Greenfield","2025-01-16","stackhcivm.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCIVM/preview/2025-02-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/StackHCIVM","2025-02-01-preview","preview","mgmt","True","Greenfield","2025-02-05","stackhcivm.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCIVM/preview/2025-04-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/StackHCIVM","2025-04-01-preview","preview","mgmt","True","Greenfield","2025-03-19","stackhcivm.json"
"azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCIVM/preview/2025-06-01-preview","","","azurestackhci","Microsoft.AzureStackHCI/StackHCIVM","2025-06-01-preview","preview","mgmt","True","Greenfield","2025-06-30","stackhcivm.json"
"batch/data-plane","package-2025-06","","batch","Microsoft.Batch","2025-06-01","stable","data","True","Brownfield","2024-08-20","Azure.Batch/stable/2025-06-01/BatchService.json"
"billingbenefits/resource-manager/Microsoft.BillingBenefits/preview/2024-11-01-preview","","","billingbenefits","Microsoft.BillingBenefits","2024-11-01-preview","preview","mgmt","True","Brownfield","2025-02-26","billingbenefits.json"
"botservice/resource-manager/Microsoft.BotService/BotService","package-preview-2023-09","","botservice","Microsoft.BotService/BotService","2023-09-15-preview","preview","mgmt","True","Brownfield","","preview/2023-09-15-preview/botservice.json"
"carbon/resource-manager","package-2025-04-01","","carbon","Microsoft.Carbon","2025-04-01","stable","mgmt","True","Brownfield","","Microsoft.Carbon/stable/2025-04-01/main.json"
"cdn/resource-manager/Microsoft.Cdn/Cdn","package-2025-06","","cdn","Microsoft.Cdn/Cdn","2025-06-01","stable","mgmt","True","Brownfield","","stable/2025-06-01/openapi.json"
"cdn/resource-manager/Microsoft.Cdn/Cdn/preview/2025-09-01-preview","","","cdn","Microsoft.Cdn/Cdn","2025-09-01-preview","preview","mgmt","True","Brownfield","2025-10-01","openapi.json"
"cdn/resource-manager/Microsoft.Cdn/EdgeActions","package-2025-09-01-preview","","cdn","Microsoft.Cdn/EdgeActions","2025-09-01-preview","preview","mgmt","True","Greenfield","","preview/2025-09-01-preview/openapi.json"
"chaos/resource-manager/Microsoft.Chaos/Chaos","package-2025-01","","chaos","Microsoft.Chaos/Chaos","2025-01-01","stable","mgmt","True","Brownfield","","stable/2025-01-01/openapi.json"
"chaos/resource-manager/Microsoft.Chaos/Chaos/preview/2024-11-01-preview","","","chaos","Microsoft.Chaos/Chaos","2024-11-01-preview","preview","mgmt","True","Brownfield","2025-09-05","openapi.json"
