"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","LatestGADate","FirstGADate","Support","EOLDate","Hide","Replace","ReplaceGuide","MSDocService","ServiceId","Notes"
"sdk/resourcemanager/customerlockbox/armcustomerlockbox","","0.6.0","Resource Management - Customer Lockbox","Customer Lockbox","resourcemanager/customerlockbox/armcustomerlockbox","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/databox/armdatabox","2.0.0","","Resource Management - Data Box","Data Box","resourcemanager/databox/armdatabox","","NA","mgmt","true","","05/23/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/databoxedge/armdataboxedge","1.1.0","","Resource Management - Data Box Edge","Data Box Edge","resourcemanager/databoxedge/armdataboxedge","","","mgmt","true","","03/30/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/datacatalog/armdatacatalog","1.1.0","","Resource Management - Data Catalog","Data Catalog","resourcemanager/datacatalog/armdatacatalog","","","mgmt","true","","03/29/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/datafactory/armdatafactory","3.2.1","","Resource Management - Data Factory","Data Factory","resourcemanager/datafactory/armdatafactory","","NA","mgmt","true","","04/14/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/datalake-analytics/armdatalakeanalytics","","0.7.1","Resource Management - Data Lake Analytics","Storage","resourcemanager/datalake-analytics/armdatalakeanalytics","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/datalake-store/armdatalakestore","1.1.0","","Resource Management - Data Lake Store","Storage","resourcemanager/datalake-store/armdatalakestore","","","mgmt","true","","03/29/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/datamigration/armdatamigration","1.1.0","","Resource Management - Data Migration","Data Migration","resourcemanager/datamigration/armdatamigration","","","mgmt","true","","03/29/2023","06/10/2022","","","","","","","",""
"sdk/resourcemanager/dataprotection/armdataprotection","2.2.0","","Resource Management - Data Protection","Data Protection","resourcemanager/dataprotection/armdataprotection","","NA","mgmt","true","","06/20/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/datashare/armdatashare","1.1.0","","Resource Management - Data Share","Data Share","resourcemanager/datashare/armdatashare","","","mgmt","true","","03/29/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/databricks/armdatabricks","","0.7.1","Resource Management - Databricks","Databricks","resourcemanager/databricks/armdatabricks","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/datadog/armdatadog","1.1.1","","Resource Management - Datadog","Datadog","resourcemanager/datadog/armdatadog","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/delegatednetwork/armdelegatednetwork","1.1.1","","Resource Management - Delegated Network","Delegated Network","resourcemanager/delegatednetwork/armdelegatednetwork","","","mgmt","true","","04/14/2023","06/10/2022","","","","","","","",""
"sdk/resourcemanager/deploymentmanager/armdeploymentmanager","","0.5.1","Resource Management - Deployment Manager","Deployment Manager","resourcemanager/deploymentmanager/armdeploymentmanager","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/resources/armdeploymentscripts","2.0.1","","Resource Management - Deployment Scripts","Deployment Scripts","resourcemanager/resources/armdeploymentscripts","","NA","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/desktopvirtualization/armdesktopvirtualization","2.0.0","","Resource Management - Desktop Virtualization","Desktop Virtualization","resourcemanager/desktopvirtualization/armdesktopvirtualization","","NA","mgmt","true","","03/24/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/devcenter/armdevcenter","1.0.0","","Resource Management - Dev Center","Dev Center","resourcemanager/devcenter/armdevcenter","","","mgmt","true","","05/23/2023","05/23/2023","","","","","","","",""
"sdk/resourcemanager/devhub/armdevhub","","0.4.0","Resource Management - DevHub","DevHub","resourcemanager/devhub/armdevhub","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/deviceprovisioningservices/armdeviceprovisioningservices","1.1.0","1.2.0-beta.1","Resource Management - Device Provisioning Services","Device Provisioning Services","resourcemanager/deviceprovisioningservices/armdeviceprovisioningservices","","","mgmt","true","","","05/17/2022","","","","","","","",""
"sdk/resourcemanager/deviceupdate/armdeviceupdate","1.1.1","","Resource Management - Device Update","IoT","resourcemanager/deviceupdate/armdeviceupdate","","","mgmt","true","","04/14/2023","08/22/2022","","","","","","","",""
"sdk/resourcemanager/devops/armdevops","","0.6.0","Resource Management - DevOps","DevOps","resourcemanager/devops/armdevops","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/devtestlabs/armdevtestlabs","1.1.1","","Resource Management - DevTest Labs","DevTest Labs","resourcemanager/devtestlabs/armdevtestlabs","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/digitaltwins/armdigitaltwins","1.1.0","","Resource Management - Digital Twins","IoT","resourcemanager/digitaltwins/armdigitaltwins","","","mgmt","true","","03/24/2023","06/15/2022","","","","","","","",""
"sdk/resourcemanager/dns/armdns","1.1.0","","Resource Management - DNS","DNS","resourcemanager/dns/armdns","","","mgmt","true","","03/30/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/dnsresolver/armdnsresolver","1.1.0","","Resource Management - DNS Resolver","DNS Resolver","resourcemanager/dnsresolver/armdnsresolver","","","mgmt","true","","03/30/2023","09/15/2022","","","","","","","",""
"sdk/resourcemanager/domainservices/armdomainservices","1.1.0","","Resource Management - Domain Services","Domain Services","resourcemanager/domainservices/armdomainservices","","","mgmt","true","","03/30/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/dynatrace/armdynatrace","1.1.0","","Resource Management - Dynatrace","Dynatrace","resourcemanager/dynatrace/armdynatrace","","","mgmt","true","","03/30/2023","09/20/2022","","","","","","","",""
"sdk/resourcemanager/edgeorder/armedgeorder","1.1.1","","Resource Management - Edge Order","Edge Order","resourcemanager/edgeorder/armedgeorder","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/edgeorderpartner/armedgeorderpartner","","0.6.1","Resource Management - Edge Order Partner","Edge Order Partner","resourcemanager/edgeorderpartner/armedgeorderpartner","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/education/armeducation","","0.3.0","Resource Management - Education","Education","resourcemanager/education/armeducation","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/elastic/armelastic","","0.9.0","Resource Management - Elastic","Elastic","resourcemanager/elastic/armelastic","","","mgmt","true","","","","","","","","","","",""
