"DisplayName","Package","Version","Hide","Notes","Type"
"Microsoft.Azure.Commerce.UsageAggregates","Microsoft.Azure.Commerce.UsageAggregates","1.5.3","","",""
"Microsoft.Azure.Common","Microsoft.Azure.Common","2.2.1","","",""
"Microsoft.Azure.Common.Authentication","Microsoft.Azure.Common.Authentication","1.7.0-preview","","",""
"Microsoft.Azure.Common.Dependencies","Microsoft.Azure.Common.Dependencies","1.0.0","","",""
"Microsoft.Azure.ConfigurationManager","Microsoft.Azure.ConfigurationManager","4.0.0","","",""
"Microsoft.Azure.ContainerRegistry","Microsoft.Azure.ContainerRegistry","1.0.0-preview.1","","",""
"Microsoft.Azure.Cosmos","Microsoft.Azure.Cosmos","3.10.1","","Will be replaced by: Azure.Cosmos",""
"Microsoft.Azure.Cosmos.Direct","Microsoft.Azure.Cosmos.Direct","3.11.1","","",""
"Microsoft.Azure.Cosmos.Encryption","Microsoft.Azure.Cosmos.Encryption","1.0.0-preview4","","",""
"Microsoft.Azure.Cosmos.Table","Microsoft.Azure.Cosmos.Table","2.0.0-preview","","",""
"Microsoft.Azure.CosmosDB.BulkExecutor","Microsoft.Azure.CosmosDB.BulkExecutor","2.4.1-preview","","",""
"Microsoft.Azure.CosmosDB.Table","Microsoft.Azure.CosmosDB.Table","2.1.2","","",""
"Microsoft.Azure.DataLake.Store","Microsoft.Azure.DataLake.Store","1.2.3-alpha","","",""
"Microsoft.Azure.DataLake.USQL.SDK","Microsoft.Azure.DataLake.USQL.SDK","1.4.200110","","",""
"Microsoft.Azure.DCAP","Microsoft.Azure.DCAP","1.6.0","","",""
"Microsoft.Azure.DocumentDB","Microsoft.Azure.DocumentDB","2.11.0","","",""
"Microsoft.Azure.DocumentDB.ChangeFeedProcessor","Microsoft.Azure.DocumentDB.ChangeFeedProcessor","2.3.0","","",""
"Microsoft.Azure.DocumentDB.Core","Microsoft.Azure.DocumentDB.Core","2.11.0","","",""
"Microsoft.Azure.EventGrid","Microsoft.Azure.EventGrid","3.2.0","","",""
"Microsoft.Azure.EventHubs","Microsoft.Azure.EventHubs","4.2.0","","Replaced by: Azure.Messaging.EventHubs",""
"Microsoft.Azure.EventHubs.Processor","Microsoft.Azure.EventHubs.Processor","4.2.0","","Replaced by: Azure.Messaging.EventHubs.Processor",""
"Microsoft.Azure.EventHubs.ServiceFabricProcessor","Microsoft.Azure.EventHubs.ServiceFabricProcessor","0.5.4","","",""
"Microsoft.Azure.Functions.Extensions","Microsoft.Azure.Functions.Extensions","1.0.0","","",""
"Microsoft.Azure.Gallery","Microsoft.Azure.Gallery","2.6.2-preview","","",""
"Microsoft.Azure.Graph.RBAC","Microsoft.Azure.Graph.RBAC","3.8.0-preview","","",""
"Microsoft.Azure.HDInsight.Job","Microsoft.Azure.HDInsight.Job","3.0.0-preview.1","","",""
"Microsoft.Azure.Insights","Microsoft.Azure.Insights","0.16.0-preview","","",""
"Microsoft.Azure.Jobs","Microsoft.Azure.Jobs","0.3.2-beta","","",""
"Microsoft.Azure.Jobs.Core","Microsoft.Azure.Jobs.Core","0.3.2-beta","","",""
"Microsoft.Azure.Jobs.ServiceBus","Microsoft.Azure.Jobs.ServiceBus","0.3.2-beta","","",""
"Microsoft.Azure.KeyVault","Microsoft.Azure.KeyVault","3.0.5","","Replaced By: Azure.Security.KeyVault.Keys<br>Azure.Security.KeyVault.Secrets<br>Azure.Security.KeyVault.Certificates",""
"Microsoft.Azure.KeyVault.Core","Microsoft.Azure.KeyVault.Core","3.0.5","","Replaced By: Azure.Security.KeyVault.Keys<br>Azure.Security.KeyVault.Secrets<br>Azure.Security.KeyVault.Certificates",""
"Microsoft.Azure.KeyVault.Cryptography","Microsoft.Azure.KeyVault.Cryptography","3.0.5","","Replaced By: Azure.Security.KeyVault.Keys<br>Azure.Security.KeyVault.Secrets<br>Azure.Security.KeyVault.Certificates",""
